step,step_time_s,total_time_s,ALLKE,ALLIE,ALLAE,ALLVD,ALLKE_over_abs_ALLIE
Insertion,0.0766671746969223,0.0766671746969223,1.0667811238818103e-06,0.0046189106069505215,0.00043831608491018414,9.432393198949285e-06,0.000230959465263632
Insertion,0.07750020921230316,0.07750020921230316,9.743930604599882e-07,0.00479715783149004,0.0004884059308096766,1.0732900591392536e-05,0.0002031188246640059
Insertion,0.07833385467529297,0.07833385467529297,5.724189031752758e-05,0.00398610346019268,0.0006552399136126041,2.1659503545379266e-05,0.014360362416373562
Insertion,0.0791669562458992,0.0791669562458992,0.00039994699181988835,0.0023699922021478415,0.0011605822946876287,4.55528570455499e-05,0.16875456022911398
Insertion,0.08000006526708603,0.08000006526708603,0.00028192144236527383,0.0025530047714710236,0.001288810046389699,4.63978030893486e-05,0.11042730727167135
Insertion,0.08083408325910568,0.08083408325910568,0.00018493467359803617,0.0027160453610122204,0.0013620264362543821,4.671985516324639e-05,0.06808968519182404
Insertion,0.08166676759719849,0.08166676759719849,6.411748472601175e-05,0.0029390729032456875,0.0014026062563061714,4.708014239440672e-05,0.021815547567807965
Insertion,0.08250029385089874,0.08250029385089874,0.0001233321672771126,0.0029290553648024797,0.001436227816157043,4.7375047870445997e-05,0.042106465025945145
Insertion,0.08333384245634079,0.08333384245634079,0.0001307077327510342,0.0030224276706576347,0.0014620679430663586,4.7636563976993784e-05,0.043245942333036594
Insertion,0.0841672271490097,0.0841672271490097,0.00014521040429826826,0.0031065912917256355,0.0014784460654482245,4.7818219172768295e-05,0.04674268053381667
Insertion,0.08500015735626221,0.08500015735626221,8.678693848196417e-05,0.0031180051155388355,0.0015217404579743743,4.986960630048998e-05,0.02783412318647404
Insertion,0.08583403378725052,0.08583403378725052,3.0105176847428083e-05,0.0024318979121744633,0.0016121974913403392,5.254800635157153e-05,0.012379293019134083
Insertion,0.08666706085205078,0.08666706085205078,4.6379358536796644e-05,0.0023667728528380394,0.0016331919468939304,5.2666571718873456e-05,0.01959603283482922
Insertion,0.08750008046627045,0.08750008046627045,1.597050686541479e-05,0.002342913532629609,0.001646709511987865,5.289930777507834e-05,0.006816515694239052
Insertion,0.08833407610654831,0.08833407610654831,4.200962575851008e-05,0.0023331581614911556,0.0016464375657960773,5.293106733006425e-05,0.018005477061898416
Insertion,0.08916722238063812,0.08916722238063812,7.311543413379695e-06,0.002357757417485118,0.0016518504125997424,5.343717566574924e-05,0.003101058386735346
Insertion,0.09000018984079361,0.09000018984079361,2.0659228539443575e-05,0.002345744287595153,0.0016615268541499972,5.348001650418155e-05,0.00880711024159557
Insertion,0.09083382785320282,0.09083382785320282,5.994840648781974e-06,0.0023716094437986612,0.001668064738623798,5.350214632926509e-05,0.002527752056502145
Insertion,0.09166723489761353,0.09166723489761353,2.2574437025468796e-05,0.0023699288722127676,0.0016664458671584725,5.352233711164445e-05,0.009525364786324316
Insertion,0.09250009804964066,0.09250009804964066,5.604141733783763e-06,0.0023858502972871065,0.0016658658860251307,5.363700256566517e-05,0.002348907532109663
Insertion,0.0933336466550827,0.0933336466550827,1.2015615538985003e-05,0.002386975334957242,0.001670380588620901,5.364926619222388e-05,0.005033824758478386
Insertion,0.09416671842336655,0.09416671842336655,3.075944277952658e-06,0.002396658295765519,0.0016759376740083098,5.3674535593017936e-05,0.0012834304679091382
