step,step_time_s,total_time_s,rp_u3_mm,rp_rf3_N,insertion_depth_mm,pullout_displacement_mm,pullout_resistance_N,absolute_force_N
Insertion,0.018750732764601707,0.018750732764601707,-0.07981155067682266,1.536613609687265e-07,0.07981155067682266,0.0,0.0,1.536613609687265e-07
Insertion,0.019375883042812347,0.019375883042812347,-0.07996547967195511,8.49937293878611e-08,0.07996547967195511,0.0,0.0,8.49937293878611e-08
Insertion,0.02000003308057785,0.02000003308057785,-0.07998862862586975,-1.2468476771887449e-12,0.07998862862586975,0.0,0.0,1.2468476771887449e-12
Insertion,0.02062518335878849,0.02062518335878849,-0.0799945741891861,-2.2707553171130712e-08,0.0799945741891861,0.0,0.0,2.2707553171130712e-08
Insertion,0.02125033363699913,0.02125033363699913,-0.08003592491149902,-4.4340850990920444e-08,0.08003592491149902,0.0,0.0,4.4340850990920444e-08
Insertion,0.02187548391520977,0.02187548391520977,-0.08014647662639618,-6.491819704024238e-08,0.08014647662639618,0.0,0.0,6.491819704024238e-08
Insertion,0.02250063419342041,0.02250063419342041,-0.08035840839147568,-8.445661592304532e-08,0.08035840839147568,0.0,0.0,8.445661592304532e-08
Insertion,0.02312578447163105,0.02312578447163105,-0.08070224523544312,-1.0297312513785073e-07,0.08070224523544312,0.0,0.0,1.0297312513785073e-07
Insertion,0.02375093474984169,0.02375093474984169,-0.08120694756507874,-1.204847848157442e-07,0.08120694756507874,0.0,0.0,1.204847848157442e-07
Insertion,0.024375084787607193,0.024375084787607193,-0.08189865201711655,-1.3698297607334098e-07,0.08189865201711655,0.0,0.0,1.3698297607334098e-07
Insertion,0.025000235065817833,0.025000235065817833,-0.08280535787343979,-1.5253756657784834e-07,0.08280535787343979,0.0,0.0,1.5253756657784834e-07
Insertion,0.025625385344028473,0.025625385344028473,-0.0839504599571228,-1.6713835293558077e-07,0.0839504599571228,0.0,0.0,1.6713835293558077e-07
Insertion,0.026250535622239113,0.026250535622239113,-0.08535678684711456,-1.8080248764817952e-07,0.08535678684711456,0.0,0.0,1.8080248764817952e-07
Insertion,0.026875685900449753,0.026875685900449753,-0.08704566955566406,-1.9354685321104625e-07,0.08704566955566406,0.0,0.0,1.9354685321104625e-07
Insertion,0.027500836178660393,0.027500836178660393,-0.08903707563877106,-2.0538855949325807e-07,0.08903707563877106,0.0,0.0,2.0538855949325807e-07
Insertion,0.028125986456871033,0.028125986456871033,-0.09134955704212189,-2.1634461688790907e-07,0.09134955704212189,0.0,0.0,2.1634461688790907e-07
Insertion,0.028750136494636536,0.028750136494636536,-0.09399563074111938,-2.264166596432915e-07,0.09399563074111938,0.0,0.0,2.264166596432915e-07
Insertion,0.029375286772847176,0.029375286772847176,-0.09699960052967072,-2.3565388573842938e-07,0.09699960052967072,0.0,0.0,2.3565388573842938e-07
Insertion,0.030000437051057816,0.030000437051057816,-0.10037191957235336,-2.4405662202298117e-07,0.10037191957235336,0.0,0.0,2.4405662202298117e-07
Insertion,0.030625587329268456,0.030625587329268456,-0.1041257381439209,-2.516418362574768e-07,0.1041257381439209,0.0,0.0,2.516418362574768e-07
Insertion,0.031250737607479095,0.031250737607479095,-0.10827293246984482,-2.5842655304586515e-07,0.10827293246984482,0.0,0.0,2.5842655304586515e-07
Insertion,0.031875722110271454,0.031875722110271454,-0.11283132433891296,-2.6442629064149514e-07,0.11283132433891296,0.0,0.0,2.6442629064149514e-07
Insertion,0.03250070661306381,0.03250070661306381,-0.117803655564785,-2.696600915896852e-07,0.117803655564785,0.0,0.0,2.696600915896852e-07
Insertion,0.03312569111585617,0.03312569111585617,-0.12319804728031158,-2.741448383858369e-07,0.12319804728031158,0.0,0.0,2.741448383858369e-07
